Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
55,2.0,0.0,0.0,646.0,15.0,34.0,2685.0,0.1,553.0,0.0,0.0,432.6490364074707,,,,,,,,,,,,,,,,,,,,,237.12925232046,185.581344300149,546.0291176272414,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,681.0,16.0,35.0,2720.0,0.1,594.0,0.0,0.0,436.2829089164734,,,,,,,,,,,,,,,,,,,,,263.4646797617822,196.17183023321286,585.9500503590054,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,717.0,17.0,36.0,2756.0,0.1,595.0,0.0,0.0,439.77910232543945,,,,,,,,,,,,,,,,,,,,,257.12891314256746,198.2043900698141,586.9166054211046,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,756.0,18.0,39.0,2795.0,0.1,678.0,0.0,0.0,443.4869656562805,,,,,,,,,,,,,,,,,,,,,303.857761986735,220.85803653034478,667.4838474936572,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,803.0,19.0,47.0,2842.0,0.1,766.0,0.0,0.0,447.8863847255707,,,,,,,,,,,,,,,,,,,,,318.77964246843504,253.60597835121467,752.521647577491,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,883.0,20.0,80.0,2922.0,0.1,1459.0,0.0,0.0,455.2052652835846,,,,,,,,,,,,,,,,,,,,,646.3924197414046,452.89166547784765,1410.1074111355474,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,47.0,1.0,47.0,2969.0,0.1,786.0,0.0,0.0,536.9883849620819,,,,,,,,,,,,,,,,,,,,,334.654264887241,258.17992415232163,771.81410594809,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,87.0,2.0,40.0,3009.0,0.1,679.0,0.0,0.0,541.1379723548889,,,,,,,,,,,,,,,,,,,,,297.24206266867134,223.1688135103633,668.4465421309731,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,125.0,3.0,38.0,3047.0,0.1,637.0,0.0,0.0,544.9228892326355,,,,,,,,,,,,,,,,,,,,,277.1699439217641,210.73046075559336,627.7223591268677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,179.0,4.0,54.0,3101.0,0.1,953.0,0.0,0.0,549.9325332641602,,,,,,,,,,,,,,,,,,,,,421.0618414767935,305.0014740606841,932.1259803950627,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,302.0,5.0,123.0,3224.0,0.1,2482.0,0.0,0.0,560.8895814418793,,,,,,,,,,,,,,,,,,,,,1175.998278158857,702.2111998830295,2342.033937627779,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,373.0,6.0,71.0,3295.0,0.1,1250.0,0.0,0.0,567.5218489170074,,,,,,,,,,,,,,,,,,,,,565.9734877331799,369.247997735658,1212.2391484286527,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,443.0,7.0,70.0,3365.0,0.1,1349.0,0.0,0.0,574.0778360366821,,,,,,,,,,,,,,,,,,,,,634.3834460020627,406.6050581637452,1307.2062641017949,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,493.0,8.0,50.0,3415.0,0.1,769.0,0.0,0.0,578.7719342708588,,,,,,,,,,,,,,,,,,,,,302.52337769913015,257.2996586841481,755.3838434180361,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,531.0,9.0,38.0,3453.0,0.1,577.0,0.0,0.0,582.4415385723114,,,,,,,,,,,,,,,,,,,,,230.48250875946246,195.91997688623292,569.3798549972802,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,670.0,10.0,139.0,3592.0,0.1,2618.0,0.0,0.0,594.6952328681946,,,,,,,,,,,,,,,,,,,,,1154.4009837471149,776.2051587835804,2462.4607222429154,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,784.0,11.0,114.0,3706.0,0.1,1993.0,0.0,0.0,605.1009907722473,,,,,,,,,,,,,,,,,,,,,830.7148478796548,620.8096855357783,1902.1008068546216,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,898.0,12.0,114.0,3820.0,0.1,2253.0,0.0,0.0,615.2552359104156,,,,,,,,,,,,,,,,,,,,,1051.9661929910324,652.0998645831603,2137.3484134775636,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,954.0,13.0,56.0,3876.0,0.1,1035.0,0.0,0.0,620.5007326602936,,,,,,,,,,,,,,,,,,,,,475.61753992153365,323.0305424206244,1010.3851777346856,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1063.0,14.0,109.0,3985.0,0.1,2168.0,0.0,0.0,630.1994366645813,,,,,,,,,,,,,,,,,,,,,1021.1774131025442,625.52759775886,2060.811223607814,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1156.0,15.0,93.0,4078.0,0.1,1652.0,0.0,0.0,638.5721392631531,,,,,,,,,,,,,,,,,,,,,741.7516779313579,476.97952862796797,1586.1878835315624,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1186.0,16.0,30.0,4108.0,0.1,509.0,0.0,0.0,641.8484399318695,,,,,,,,,,,,,,,,,,,,,229.59446616047114,169.01676364632422,503.1178986946766,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1337.0,17.0,151.0,4259.0,0.1,2990.0,0.0,0.0,655.1974020004272,,,,,,,,,,,,,,,,,,,,,1373.5712083326364,849.4953645196667,2788.1642879533906,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1372.0,18.0,35.0,4294.0,0.1,594.0,0.0,0.0,658.5900542736053,,,,,,,,,,,,,,,,,,,,,263.4646797617822,196.17183023321286,585.9500503590054,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1405.0,19.0,33.0,4327.0,0.1,512.0,0.0,0.0,661.9279093742371,,,,,,,,,,,,,,,,,,,,,211.58666024469753,174.22586257366885,506.0291925678682,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
